pages_viewed,time_spent_sec,previous_visits,products_viewed,added_to_cart,device_type,previous_purchases,purchase
6,70.9,1,1,0,tablet,2,1
5,56.2,2,2,0,desktop,2,0
5,207.1,1,1,0,desktop,2,0
6,71.2,2,6,0,desktop,1,1
6,19.5,1,3,1,mobile,1,0
4,135.8,2,2,1,tablet,2,1
6,74.5,1,7,1,mobile,1,1
5,273.6,0,1,0,desktop,0,0
7,152.0,4,2,0,mobile,1,0
8,264.6,2,6,0,desktop,2,1
3,173.2,3,2,0,mobile,2,1
6,210.9,0,2,1,mobile,1,1
6,130.5,3,1,0,tablet,3,0
7,181.2,3,2,0,desktop,0,0
5,49.8,1,3,0,mobile,0,0
7,172.6,1,5,0,desktop,2,0
7,30.0,2,2,0,mobile,0,0
2,94.9,3,4,0,mobile,3,0
8,62.2,0,2,0,desktop,0,0
3,120.1,2,4,0,tablet,2,0
12,69.7,1,2,1,desktop,0,1
5,31.1,1,5,0,mobile,1,0
4,28.4,0,6,0,desktop,3,0
9,33.7,2,1,0,mobile,0,0
4,122.4,2,3,0,mobile,0,0
4,125.8,4,4,0,desktop,0,0
6,69.5,1,3,0,mobile,0,0
9,139.1,2,5,0,mobile,0,0
4,87.8,1,6,0,mobile,0,0
3,132.0,1,5,0,tablet,2,0
6,99.4,1,4,0,desktop,0,0
4,177.2,0,4,0,mobile,1,0
9,49.0,3,3,1,mobile,0,0
11,16.0,1,2,0,mobile,1,0
4,88.5,2,2,0,mobile,2,0
3,107.3,2,5,0,tablet,1,0
6,39.9,1,5,0,desktop,1,0
8,46.3,2,3,1,tablet,1,0
7,149.1,4,1,1,mobile,0,1
7,151.9,1,4,0,desktop,0,0
3,85.5,0,6,0,mobile,1,0
5,22.1,2,4,1,mobile,0,0
10,145.1,2,4,0,desktop,2,0
8,106.4,2,2,0,mobile,0,0
12,63.2,1,5,0,mobile,2,1
9,190.2,0,2,0,mobile,2,0
4,7.8,5,1,0,desktop,1,0
3,95.1,0,2,0,mobile,0,0
4,146.4,2,4,1,mobile,1,1
5,30.2,1,2,0,desktop,2,0
6,27.3,3,5,1,desktop,2,1
